symbol,name,market,is_st
000708,中信特钢,sz,false
000709,河钢股份,sz,false
000710,贝瑞基因,sz,false
000711,ST京蓝,sz,true
000712,锦龙股份,sz,false
000713,国投丰乐,sz,false
000715,中兴商业,sz,false
000716,黑芝麻,sz,false
000717,中南股份,sz,false
000718,苏宁环球,sz,false
000719,中原传媒,sz,false
000720,新能泰山,sz,false
000721,西安饮食,sz,false
000722,湖南发展,sz,false
000723,美锦能源,sz,false
000725,京东方Ａ,sz,false
000726,鲁  泰Ａ,sz,false
000727,冠捷科技,sz,false
000728,国元证券,sz,false
000729,燕京啤酒,sz,false
000731,四川美丰,sz,false
000733,振华科技,sz,false
000735,罗 牛 山,sz,false
000736,中交地产,sz,false
000737,北方铜业,sz,false
000738,航发控制,sz,false
000739,普洛药业,sz,false
000750,国海证券,sz,false
000751,锌业股份,sz,false
000752,*ST西发,sz,true
000753,漳州发展,sz,false
000755,山西高速,sz,false
000756,新华制药,sz,false
000757,浩物股份,sz,false
000758,中色股份,sz,false
000759,中百集团,sz,false
000761,本钢板材,sz,false
000762,西藏矿业,sz,false
000766,通化金马,sz,false
000767,晋控电力,sz,false
000768,中航西飞,sz,false
000776,广发证券,sz,false
000777,中核科技,sz,false
000778,新兴铸管,sz,false
000779,甘咨询,sz,false
000782,恒申新材,sz,false
000783,长江证券,sz,false
000785,居然智家,sz,false
000786,北新建材,sz,false
000788,北大医药,sz,false
000789,万年青,sz,false
000790,华神科技,sz,false
000791,甘肃能源,sz,false
000792,盐湖股份,sz,false
000793,*ST华闻,sz,true
000795,英洛华,sz,false
000796,凯撒旅业,sz,false
000797,中国武夷,sz,false
000798,中水渔业,sz,false
000799,酒鬼酒,sz,false
000800,一汽解放,sz,false
000801,四川九洲,sz,false
000802,北京文化,sz,false
000803,山高环能,sz,false
000807,云铝股份,sz,false
000809,和展能源,sz,false
000810,创维数字,sz,false
000811,冰轮环境,sz,false
000812,陕西金叶,sz,false
000813,德展健康,sz,false
000815,美利云,sz,false
000816,智慧农业,sz,false
000818,航锦科技,sz,false
000819,岳阳兴长,sz,false
000820,*ST节能,sz,true
000821,ST京机,sz,true
000822,山东海化,sz,false
000823,超声电子,sz,false
000825,太钢不锈,sz,false
000826,*ST启环,sz,true
000828,东莞控股,sz,false
000829,天音控股,sz,false
000830,鲁西化工,sz,false
000831,中国稀土,sz,false
000833,粤桂股份,sz,false
000837,秦川机床,sz,false
000838,*ST发展,sz,true
000839,国安股份,sz,false
000848,承德露露,sz,false
000850,华茂股份,sz,false
000852,石化机械,sz,false
000856,冀东装备,sz,false
000858,五 粮 液,sz,false
000859,国风新材,sz,false
000860,顺鑫农业,sz,false
000862,银星能源,sz,false
000863,三湘印象,sz,false
000868,安凯客车,sz,false
000869,张  裕Ａ,sz,false
000875,电投绿能,sz,false
000876,新 希 望,sz,false
000877,天山股份,sz,false
000878,云南铜业,sz,false
000880,潍柴重机,sz,false
000881,中广核技,sz,false
000882,华联股份,sz,false
000883,湖北能源,sz,false
000885,城发环境,sz,false
000886,海南高速,sz,false
000887,中鼎股份,sz,false
000888,峨眉山Ａ,sz,false
000889,中嘉博创,sz,false
000890,法尔胜,sz,false
000892,欢瑞世纪,sz,false
000893,亚钾国际,sz,false
000895,双汇发展,sz,false
000897,津滨发展,sz,false
000898,鞍钢股份,sz,false
000899,赣能股份,sz,false
000900,现代投资,sz,false
000901,航天科技,sz,false
000902,新洋丰,sz,false
000903,ST云动,sz,true
000905,厦门港务,sz,false
000906,浙商中拓,sz,false
000908,ST景峰,sz,true
000909,*ST数源,sz,true
000910,大亚圣象,sz,false
000911,*ST广糖,sz,true
000912,泸天化,sz,false
000913,钱江摩托,sz,false
000915,华特达因,sz,false
000917,电广传媒,sz,false
000919,金陵药业,sz,false
000920,沃顿科技,sz,false
000921,海信家电,sz,false
000922,佳电股份,sz,false
000923,河钢资源,sz,false
000925,众合科技,sz,false
000926,福星股份,sz,false
000927,中国铁物,sz,false
000928,中钢国际,sz,false
000929,*ST兰黄,sz,true
000930,中粮科技,sz,false
000931,中 关 村,sz,false
000932,华菱钢铁,sz,false
000933,神火股份,sz,false
000935,四川双马,sz,false
000936,华西股份,sz,false
000937,冀中能源,sz,false
000938,紫光股份,sz,false
000948,南天信息,sz,false
000949,新乡化纤,sz,false
000950,重药控股,sz,false
000951,中国重汽,sz,false
000952,广济药业,sz,false
000953,中哲精化,sz,false
000955,欣龙控股,sz,false
000957,中通客车,sz,false
000958,电投产融,sz,false
000959,首钢股份,sz,false
000960,锡业股份,sz,false
000962,东方钽业,sz,false
000963,华东医药,sz,false
000965,天保基建,sz,false
000966,长源电力,sz,false
000967,盈峰环境,sz,false
000968,蓝焰控股,sz,false
000969,安泰科技,sz,false
000970,中科三环,sz,false
000972,*ST中基,sz,true
000973,佛塑科技,sz,false
000975,山金国际,sz,false
000977,浪潮信息,sz,false
000978,桂林旅游,sz,false
000980,众泰汽车,sz,false
000981,山子高科,sz,false
000983,山西焦煤,sz,false
000985,大庆华科,sz,false
000987,越秀资本,sz,false
000988,华工科技,sz,false
000989,九芝堂,sz,false
000990,诚志股份,sz,false
000993,闽东电力,sz,false
000995,皇台酒业,sz,false
000997,新 大 陆,sz,false
000998,隆平高科,sz,false
000999,华润三九,sz,false
001201,东瑞股份,sz,false
001202,炬申股份,sz,false
001203,大中矿业,sz,false
001205,盛航股份,sz,false
001206,依依股份,sz,false
001207,联科科技,sz,false
001208,华菱线缆,sz,false
001209,洪兴股份,sz,false
001210,金房能源,sz,false
